timestamp,datetime,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1760895900000,2025-10-19T14:45:00,109154.38,109197.28,109018.06,109113.52,88.63348,1760896799999,9670208.6557477,27934,43.05279,4697307.3153698
1760896800000,2025-10-19T15:00:00,109113.53,109228.45,109037.5,109217.52,93.28884,1760897699999,10180514.2714075,29884,55.67523,6075481.8879303
1760897700000,2025-10-19T15:15:00,109217.52,109369.04,109130.09,109216.07,75.77663,1760898599999,8277428.4245877,27354,39.4165,4304983.9475165
1760898600000,2025-10-19T15:30:00,109216.07,109398.23,109156.18,109329.18,129.52649,1760899499999,14154577.3040705,35599,82.43651,9008520.7343785
1760899500000,2025-10-19T15:45:00,109329.18,109450.07,109296.6,109383.01,91.62198,1760900399999,10022504.0052695,21329,52.26795,5716849.9471007
1760900400000,2025-10-19T16:00:00,109383.0,109383.01,108878.71,109083.07,151.26706,1760901299999,16504626.116999,41312,57.52538,6277267.6956237
1760901300000,2025-10-19T16:15:00,109083.06,109194.61,109044.47,109138.25,140.12305,1760902199999,15288793.0774364,25546,69.88736,7625251.7685371
1760902200000,2025-10-19T16:30:00,109138.25,109138.25,108806.54,108921.71,97.7636,1760903099999,10652237.0774556,27914,43.14984,4701595.5604584
1760903100000,2025-10-19T16:45:00,108921.71,108960.01,108800.57,108908.43,62.25066,1760903999999,6777380.0314183,21696,23.93023,2605591.0722622
1760904000000,2025-10-19T17:00:00,108908.43,108984.9,108810.17,108857.86,107.64517,1760904899999,11721966.7488381,22983,30.33818,3304028.1809723
1760904900000,2025-10-19T17:15:00,108857.85,108932.0,108812.55,108921.17,314.80612,1760905799999,34275055.1302074,22047,69.30922,7546870.6050424
1760905800000,2025-10-19T17:30:00,108921.18,108952.69,108820.1,108883.12,169.28181,1760906699999,18430266.4694145,25489,35.3021,3843715.0289914
1760906700000,2025-10-19T17:45:00,108883.12,108984.45,108836.17,108845.06,69.69889,1760907599999,7589719.917663,30903,36.48325,3972804.6047434
1760907600000,2025-10-19T18:00:00,108845.07,108869.87,108716.31,108773.23,89.50084,1760908499999,9738196.604985,24889,42.08966,4579056.2314332
1760908500000,2025-10-19T18:15:00,108773.23,108779.68,108620.0,108620.01,66.17502,1760909399999,7191957.1956271,14629,18.38943,1998587.2360748
1760909400000,2025-10-19T18:30:00,108620.01,108795.7,108620.0,108741.71,62.82644,1760910299999,6830259.5767744,10319,34.92073,3796551.3226188
1760910300000,2025-10-19T18:45:00,108741.7,108779.4,108641.99,108744.82,54.44533,1760911199999,5918654.6439378,14910,31.54315,3428626.4985701
1760911200000,2025-10-19T19:00:00,108744.83,109090.0,108744.83,109060.78,220.80358,1760912099999,24052492.3594817,44807,143.56835,15638946.8048572
1760912100000,2025-10-19T19:15:00,109060.78,109250.0,109033.44,109182.75,214.17878,1760912999999,23379191.7647339,42316,115.31111,12585832.6189549
1760913000000,2025-10-19T19:30:00,109182.75,109370.99,109182.74,109280.62,136.99102,1760913899999,14970540.86848,33421,59.85959,6541045.142913
1760913900000,2025-10-19T19:45:00,109280.62,109339.84,109109.16,109146.8,101.58805,1760914799999,11095448.5618902,27323,52.21875,5703975.3895858
1760914800000,2025-10-19T20:00:00,109146.8,109146.8,108829.66,108846.51,145.15719,1760915699999,15812538.8310597,24519,40.20827,4379674.0715313
1760915700000,2025-10-19T20:15:00,108846.51,108919.64,108683.34,108772.24,79.10877,1760916599999,8605639.292277,22652,31.93782,3474215.5098282
1760916600000,2025-10-19T20:30:00,108772.24,108819.2,108475.5,108550.04,147.06743,1760917499999,15971120.2065044,30822,54.22018,5886591.0409385
1760917500000,2025-10-19T20:45:00,108550.03,108658.78,108471.1,108642.78,69.48708,1760918399999,7543112.4497167,21047,27.5842,2994871.4245007
1760918400000,2025-10-19T21:00:00,108642.77,108642.77,108025.55,108066.78,340.51837,1760919299999,36892037.141381,49410,104.31878,11303701.0591987
1760919300000,2025-10-19T21:15:00,108066.78,108119.97,107500.0,107654.2,429.0819,1760920199999,46248354.1889201,90428,181.52401,19566136.9465388
1760920200000,2025-10-19T21:30:00,107654.19,108120.65,107402.52,107846.82,281.99284,1760921099999,30373738.7636041,81798,137.55012,14819246.9441374
1760921100000,2025-10-19T21:45:00,107846.82,108086.78,107800.0,108047.46,147.27219,1760921999999,15899252.8111493,50754,74.05908,7995822.8577494
1760922000000,2025-10-19T22:00:00,108047.46,108276.04,107894.0,108113.65,210.401,1760922899999,22744877.2231442,57839,115.10389,12445852.3061437
1760922900000,2025-10-19T22:15:00,108113.65,108210.2,107900.67,108113.71,155.12859,1760923799999,16755854.9554193,51571,68.03734,7350640.5532184
1760923800000,2025-10-19T22:30:00,108113.71,108219.19,107953.65,108075.88,89.95955,1760924699999,9720409.853228,40193,45.7448,4942934.2921148
1760924700000,2025-10-19T22:45:00,108075.88,108219.19,108002.0,108053.58,147.35371,1760925599999,15927677.6077008,38427,91.29306,9867804.248354
1760925600000,2025-10-19T23:00:00,108053.57,108107.67,107854.71,108005.13,97.39376,1760926499999,10513760.7056356,41508,43.94916,4744250.8322654
1760926500000,2025-10-19T23:15:00,108005.13,108517.4,107981.8,108441.58,160.57303,1760927399999,17398365.1261865,46838,111.87092,12118727.9046631
1760927400000,2025-10-19T23:30:00,108441.58,108788.51,108303.93,108747.08,203.6652,1760928299999,22118691.2759773,50663,114.33932,12417798.2070468
1760928300000,2025-10-19T23:45:00,108747.07,108970.51,108668.85,108767.02,144.23744,1760929199999,15692913.9829254,39301,82.11315,8934838.4151887
1760929200000,2025-10-20T00:00:00,108767.03,108777.61,108571.59,108700.0,47.51861,1760930099999,5163803.351615,23807,22.71111,2468005.6894871
1760930100000,2025-10-20T00:15:00,108700.0,108960.09,108672.0,108771.67,102.47173,1760930999999,11146497.1882647,29399,56.16386,6109725.7363608
1760931000000,2025-10-20T00:30:00,108771.67,109239.99,108653.43,109126.66,213.39096,1760931899999,23246625.9413614,40792,158.65248,17282982.3024617
1760931900000,2025-10-20T00:45:00,109126.66,110427.86,109061.43,110145.44,912.5962,1760932799999,100333500.3938609,129592,584.89244,64286373.3533789
1760932800000,2025-10-20T01:00:00,110145.45,110535.13,110100.0,110393.58,273.3203,1760933699999,30144531.963816,93654,149.57128,16497055.4200748
1760933700000,2025-10-20T01:15:00,110393.59,110474.69,109951.96,110062.11,245.65074,1760934599999,27050672.1895026,61416,107.21951,11805274.3577191
1760934600000,2025-10-20T01:30:00,110062.12,110319.71,110062.1,110251.26,169.29551,1760935499999,18658604.9794892,53165,82.95538,9142337.9633264
1760935500000,2025-10-20T01:45:00,110251.26,110453.77,110200.0,110422.1,177.07659,1760936399999,19539119.175962,31197,91.66522,10115063.4155939
1760936400000,2025-10-20T02:00:00,110422.1,110590.66,110291.27,110544.51,190.80597,1760937299999,21065898.5133197,41105,108.23915,11950905.6845658
1760937300000,2025-10-20T02:15:00,110544.51,110752.1,110442.72,110571.09,269.14762,1760938199999,29774890.7336702,56071,141.07452,15606898.5908788
1760938200000,2025-10-20T02:30:00,110571.09,110802.12,110546.85,110796.75,190.201,1760939099999,21058599.0083106,55479,106.38355,11778812.2382064
1760939100000,2025-10-20T02:45:00,110796.75,111111.0,110716.82,111033.79,341.65748,1760939999999,37907526.1689567,55198,179.49704,19913637.1127921
1760940000000,2025-10-20T03:00:00,111033.79,111246.24,111001.91,111159.95,235.80846,1760940899999,26207200.8021379,58191,127.88131,14212342.5458544
1760940900000,2025-10-20T03:15:00,111159.95,111303.67,111016.35,111054.89,401.74089,1760941799999,44673329.4695825,50581,196.08602,21807587.7698653
1760941800000,2025-10-20T03:30:00,111054.9,111368.06,111051.22,111319.31,391.67634,1760942699999,43569331.2682752,56958,221.33301,24619838.2626951
1760942700000,2025-10-20T03:45:00,111319.32,111377.34,111163.54,111298.55,167.64127,1760943599999,18653613.8698217,37877,77.70288,8646044.9032233
1760943600000,2025-10-20T04:00:00,111298.55,111318.95,111115.6,111270.03,192.92471,1760944499999,21456957.7610425,45663,75.4797,8395114.3353206
1760944500000,2025-10-20T04:15:00,111270.04,111445.67,111222.09,111362.03,262.50784,1760945399999,29227340.8743154,31293,134.94429,15025381.5362614
1760945400000,2025-10-20T04:30:00,111362.03,111362.04,111148.0,111239.47,237.11872,1760946299999,26380259.5700513,33743,57.62046,6410307.6262137
1760946300000,2025-10-20T04:45:00,111239.46,111269.64,111050.78,111169.92,221.40328,1760947199999,24609549.5514878,28713,50.07586,5565506.3076757
1760947200000,2025-10-20T05:00:00,111169.91,111202.01,111037.71,111164.76,121.27073,1760948099999,13475986.1189748,25617,50.04999,5562114.3732133
1760948100000,2025-10-20T05:15:00,111164.76,111258.46,110943.4,111258.46,254.06402,1760948999999,28231780.9664412,29237,146.22294,16252357.4520957
1760949000000,2025-10-20T05:30:00,111258.46,111679.25,111164.56,111311.09,414.79167,1760949899999,46214059.926563,57011,227.55323,25351981.229255
1760949900000,2025-10-20T05:45:00,111311.1,111402.81,111071.72,111097.15,135.64383,1760950799999,15078374.6094505,28969,50.74638,5641112.904773
1760950800000,2025-10-20T06:00:00,111097.16,111200.0,110961.3,111128.12,181.0711,1760951699999,20113478.184228,26427,76.71374,8522407.7793913
1760951700000,2025-10-20T06:15:00,111128.13,111151.67,110716.03,110800.48,591.66891,1760952599999,65576636.2785618,50161,293.11136,32477536.9272757
1760952600000,2025-10-20T06:30:00,110800.48,110855.62,110691.96,110840.03,197.80752,1760953499999,21911001.3884385,40842,48.78935,5404478.1059582
1760953500000,2025-10-20T06:45:00,110840.03,110999.99,110739.29,110964.13,124.87486,1760954399999,13843447.4240592,32847,68.21611,7563651.5905726
1760954400000,2025-10-20T07:00:00,110964.14,111064.23,110849.02,110970.93,120.57266,1760955299999,13380813.2516138,32936,62.69269,6958011.9988856
1760955300000,2025-10-20T07:15:00,110970.93,111049.11,110883.01,111020.28,82.04459,1760956199999,9104522.6304209,31305,42.10252,4671906.0701844
1760956200000,2025-10-20T07:30:00,111020.28,111098.01,110915.12,110934.0,87.35458,1760957099999,9698957.7610797,32422,38.82171,4310306.9724827
1760957100000,2025-10-20T07:45:00,110934.01,110955.77,110612.0,110731.78,354.2959,1760957999999,39231278.7344249,46842,107.94571,11951105.1972746
1760958000000,2025-10-20T08:00:00,110731.78,110754.51,110608.27,110693.15,273.86892,1760958899999,30313858.4329168,51476,84.31381,9332328.5722009
1760958900000,2025-10-20T08:15:00,110693.15,110895.42,110688.82,110810.88,280.32521,1760959799999,31052923.8008442,45452,66.55233,7372392.2895215
1760959800000,2025-10-20T08:30:00,110810.88,110835.6,110721.17,110741.38,103.66432,1760960699999,11482717.1119644,31335,39.95852,4426329.4570268
1760960700000,2025-10-20T08:45:00,110741.38,111026.93,110732.03,111016.75,129.54822,1760961599999,14371035.3353979,28108,82.28597,9128416.0643335
1760961600000,2025-10-20T09:00:00,111016.75,111025.43,110860.81,110892.38,69.96995,1760962499999,7762151.460432,34222,31.56733,3502056.4761868
1760962500000,2025-10-20T09:15:00,110892.38,111098.01,110864.3,111063.1,99.37567,1760963399999,11031679.368626,30239,56.65319,6289204.3920079
1760963400000,2025-10-20T09:30:00,111063.1,111203.06,110894.75,110927.81,162.03102,1760964299999,17999007.5034703,42479,88.04466,9782145.3801019
1760964300000,2025-10-20T09:45:00,110927.81,111000.0,110780.0,110843.81,93.62579,1760965199999,10380315.455558,30026,44.36591,4918968.3626464
1760965200000,2025-10-20T10:00:00,110843.82,110887.09,110588.23,110612.99,146.43794,1760966099999,16217129.0432725,36617,54.2617,6010293.6300522
1760966100000,2025-10-20T10:15:00,110612.99,110776.26,110594.82,110744.58,89.49115,1760966999999,9903210.3497597,24879,47.90586,5301366.9617268
1760967000000,2025-10-20T10:30:00,110744.58,110973.43,110635.32,110910.26,254.66232,1760967899999,28219497.4692427,95076,126.1203,13977425.3488708
1760967900000,2025-10-20T10:45:00,110910.26,111203.06,110893.2,111161.35,175.49293,1760968799999,19485660.2611195,65605,101.5763,11279205.5704014
1760968800000,2025-10-20T11:00:00,111161.35,111271.82,110969.04,110991.58,188.73561,1760969699999,20968731.6522963,56583,86.76086,9639837.0327657
1760969700000,2025-10-20T11:15:00,110991.58,111292.39,110736.0,111275.05,263.40091,1760970599999,29231761.4329503,57778,148.64741,16501842.1999812
1760970600000,2025-10-20T11:30:00,111275.05,111297.31,111000.0,111102.01,132.98955,1760971499999,14781974.8375845,44369,70.37826,7824032.0777312
1760971500000,2025-10-20T11:45:00,111102.01,111395.84,111102.01,111210.86,326.42878,1760972399999,36323052.5535738,40759,231.44562,25752848.8689945
1760972400000,2025-10-20T12:00:00,111210.86,111605.07,111025.98,111034.91,411.02684,1760973299999,45779053.6787182,58176,216.76915,24148828.1195991
1760973300000,2025-10-20T12:15:00,111038.52,111320.0,111001.34,111294.34,170.13686,1760974199999,18918307.2925941,39309,121.52969,13513620.7100101
1760974200000,2025-10-20T12:30:00,111294.33,111386.37,111178.61,111382.26,102.84559,1760975099999,11447726.3062832,40425,74.17386,8256406.9632313
1760975100000,2025-10-20T12:45:00,111382.26,111705.56,111133.17,111144.55,319.55413,1760975999999,35618824.4803395,74881,148.45166,16551244.5327103
1760976000000,2025-10-20T13:00:00,111144.55,111303.05,110569.99,111069.08,510.5634,1760976899999,56638361.5909649,107897,251.68321,27925596.5933764
1760976900000,2025-10-20T13:15:00,111069.09,111276.82,110896.26,110981.0,218.50114,1760977799999,24272161.1253219,72234,101.01477,11222651.4773306
1760977800000,2025-10-20T13:30:00,110981.01,110981.01,110408.0,110469.94,588.81626,1760978699999,65180954.178843,98618,198.26341,21941925.4189944
1760978700000,2025-10-20T13:45:00,110469.94,110694.5,110110.0,110683.19,399.99774,1760979599999,44139469.0176886,74471,201.06977,22195752.9851509
1760979600000,2025-10-20T14:00:00,110683.2,111071.4,110467.28,110563.99,416.25348,1760980499999,46113372.6240823,70004,120.34104,13332729.8163351
1760980500000,2025-10-20T14:15:00,110563.99,110652.99,110295.6,110368.51,106.85103,1760981399999,11803357.9310998,46956,42.12415,4653770.3918403
1760981400000,2025-10-20T14:30:00,110368.51,110389.99,109855.83,109933.01,288.06661,1760982299999,31697758.7559158,53091,93.50863,10287339.9010732
1760982300000,2025-10-20T14:45:00,109933.01,110497.0,109913.62,110282.76,266.24578,1760983199999,29360747.4817002,51389,142.13284,15669300.4244836
1760983200000,2025-10-20T15:00:00,110282.76,110544.0,110253.41,110338.31,104.61979,1760984099999,11547837.1179932,41554,53.45475,5900789.5500214
1760984100000,2025-10-20T15:15:00,110338.31,110675.63,110220.0,110660.21,133.77506,1760984999999,14770621.2769356,36546,65.38635,7222776.5420965
1760985000000,2025-10-20T15:30:00,110660.2,110829.88,110578.86,110781.63,80.96447,1760985899999,8964082.6876011,37839,44.0671,4878947.8547042
1760985900000,2025-10-20T15:45:00,110781.62,110968.98,110736.0,110937.92,137.82385,1760986799999,15278554.2029583,33392,81.59922,9045139.8838876
1760986800000,2025-10-20T16:00:00,110937.92,111067.33,110722.4,110802.56,122.82362,1760987699999,13620493.6324049,40290,58.71412,6512143.2876423
1760987700000,2025-10-20T16:15:00,110802.56,110846.13,110542.0,110810.64,113.83618,1760988599999,12598815.1710492,40976,58.46678,6471012.2909362
1760988600000,2025-10-20T16:30:00,110810.63,110943.14,110726.82,110848.43,98.19433,1760989499999,10885115.745695,38249,56.70143,6285955.3295477
1760989500000,2025-10-20T16:45:00,110848.42,110961.33,110774.0,110803.22,129.32395,1760990399999,14335892.7183378,46356,74.66496,8276229.4844416
1760990400000,2025-10-20T17:00:00,110803.22,111272.0,110665.03,111007.88,213.12624,1760991299999,23656412.5249276,59515,110.40185,12256464.6483483
1760991300000,2025-10-20T17:15:00,111007.88,111097.7,110903.13,111038.47,134.1047,1760992199999,14885092.7487883,36260,46.15534,5123082.1583878
1760992200000,2025-10-20T17:30:00,111038.46,111094.75,110935.21,111094.75,66.75159,1760993099999,7409688.1884361,19296,38.16072,4235744.4048402
1760993100000,2025-10-20T17:45:00,111094.76,111136.54,110950.87,111091.46,67.01558,1760993999999,7440727.8439467,22113,31.89692,3541582.4452759
1760994000000,2025-10-20T18:00:00,111091.46,111243.64,111022.59,111022.59,80.50823,1760994899999,8949294.7877634,22421,48.18233,5355547.8889573
1760994900000,2025-10-20T18:15:00,111022.6,111022.6,110776.24,110887.15,72.04413,1760995799999,7990437.6739695,20712,19.7666,2191650.0702429
1760995800000,2025-10-20T18:30:00,110887.16,110887.16,110645.23,110683.43,81.92481,1760996699999,9070519.5451955,12088,34.38258,3806246.6570539
1760996700000,2025-10-20T18:45:00,110683.43,110688.81,110464.91,110563.2,97.58887,1760997599999,10789968.1295806,22896,39.55218,4372241.1779909
1760997600000,2025-10-20T19:00:00,110563.2,110671.98,110418.25,110663.6,87.79115,1760998499999,9706305.3371426,24070,39.87824,4407989.2053591
1760998500000,2025-10-20T19:15:00,110663.59,110786.22,110660.32,110668.35,69.95624,1760999399999,7744806.5315587,19106,29.35638,3249838.8750569
1760999400000,2025-10-20T19:30:00,110668.36,110867.39,110660.14,110842.24,72.19894,1761000299999,7999123.3204882,18347,42.83543,4744862.1302132
1761000300000,2025-10-20T19:45:00,110842.24,110853.61,110731.65,110794.08,38.03814,1761001199999,4214634.1626274,13113,15.78495,1749076.4687724
1761001200000,2025-10-20T20:00:00,110794.08,110828.75,110570.51,110586.66,53.27091,1761002099999,5895803.8178765,16458,21.62489,2393209.6888307
1761002100000,2025-10-20T20:15:00,110586.65,110781.64,110535.97,110759.9,95.26419,1761002999999,10539983.2288968,20391,42.10416,4658657.5300994
1761003000000,2025-10-20T20:30:00,110759.9,110759.91,110570.38,110570.38,54.67549,1761003899999,6050524.5440767,27100,17.92949,1983940.1401604
1761003900000,2025-10-20T20:45:00,110570.39,110672.27,110521.85,110532.09,81.92182,1761004799999,9058526.438287,24760,24.51534,2710880.6702109
1761004800000,2025-10-20T21:00:00,110532.09,110532.09,110168.0,110168.01,152.12137,1761005699999,16787501.3154588,36504,42.16805,4653646.254919
1761005700000,2025-10-20T21:15:00,110168.01,110416.74,110168.0,110331.47,81.54741,1761006599999,8995243.8665072,39788,32.57956,3593523.234954
1761006600000,2025-10-20T21:30:00,110331.47,110507.8,110268.19,110499.06,106.28768,1761007499999,11733456.2744272,36657,54.99736,6071652.6117654
1761007500000,2025-10-20T21:45:00,110499.06,110526.0,110407.98,110446.69,97.56513,1761008399999,10778299.4343238,26191,37.5811,4151797.5636492
1761008400000,2025-10-20T22:00:00,110446.68,110489.41,110128.07,110139.08,100.65847,1761009299999,11102228.631887,37601,34.84399,3843262.1572995
1761009300000,2025-10-20T22:15:00,110139.09,110299.16,110128.08,110279.34,84.86685,1761010199999,9353318.5009811,18656,38.98053,4296524.5490165
1761010200000,2025-10-20T22:30:00,110279.34,110299.16,110107.43,110109.3,85.82943,1761011099999,9456429.1411838,24617,28.61541,3152925.5493016
1761011100000,2025-10-20T22:45:00,110109.31,110209.86,109555.0,109863.19,405.75695,1761011999999,44560990.1557552,51263,170.67675,18739268.0723889
1761012000000,2025-10-20T23:00:00,109863.18,109922.89,109439.99,109636.55,241.09458,1761012899999,26421749.0419417,58854,87.02161,9536735.4700315
1761012900000,2025-10-20T23:15:00,109636.54,109676.06,109303.86,109479.99,215.95197,1761013799999,23645934.1726754,57569,79.83332,8740463.9993031
1761013800000,2025-10-20T23:30:00,109479.99,109742.61,109375.89,109610.92,219.3127,1761014699999,24032967.8097368,44979,99.00364,10848105.5853097
1761014700000,2025-10-20T23:45:00,109610.92,109662.43,109433.0,109514.92,96.94013,1761015599999,10616906.3067588,35128,45.37702,4969386.8477774
1761015600000,2025-10-21T00:00:00,109514.92,109620.31,109400.0,109437.17,119.0897,1761016499999,13040541.8295722,35353,53.73257,5884465.0760381
1761016500000,2025-10-21T00:15:00,109437.18,109565.16,109274.19,109452.94,127.94132,1761017399999,13998480.8194765,43504,68.2151,7464585.6321585
1761017400000,2025-10-21T00:30:00,109452.95,109572.15,109416.45,109492.59,67.36323,1761018299999,7377007.6175852,24773,39.31229,4305036.2161254
1761018300000,2025-10-21T00:45:00,109492.6,109492.6,109052.09,109059.22,203.4865,1761019199999,22226382.2934251,36887,50.90932,5560367.910128
1761019200000,2025-10-21T01:00:00,109059.23,109059.23,108001.24,108307.93,776.34236,1761020099999,84267149.7772579,158259,347.09626,37675453.8651657
1761020100000,2025-10-21T01:15:00,108307.93,108374.62,108043.0,108234.68,271.07318,1761020999999,29334525.6774229,76984,131.59463,14241799.9753803
1761021000000,2025-10-21T01:30:00,108234.68,108234.69,107807.64,107887.08,439.39931,1761021899999,47444877.7000171,81917,220.56455,23814396.3431615
1761021900000,2025-10-21T01:45:00,107887.09,108013.9,107650.94,107779.7,449.57846,1761022799999,48466217.3968919,75331,236.34293,25475818.6761094
1761022800000,2025-10-21T02:00:00,107779.71,107969.62,107523.0,107716.53,428.56443,1761023699999,46166505.5553863,74192,194.95795,21002679.2729194
1761023700000,2025-10-21T02:15:00,107716.53,107928.0,107560.3,107887.7,385.74266,1761024599999,41565006.6008941,62118,229.78725,24764316.3663875
1761024600000,2025-10-21T02:30:00,107887.69,107979.46,107478.3,107700.01,494.44104,1761025499999,53275136.5138008,56768,205.08293,22095777.6147743
1761025500000,2025-10-21T02:45:00,107700.01,107816.98,107473.72,107537.12,223.10608,1761026399999,24007568.3372479,37337,110.03172,11838663.384724
1761026400000,2025-10-21T03:00:00,107537.12,107730.0,107499.19,107645.78,171.94726,1761027299999,18501253.2216499,49257,83.77494,9014495.9871053
1761027300000,2025-10-21T03:15:00,107645.78,108200.0,107632.47,107981.74,286.86153,1761028199999,30970233.8534773,52870,168.33081,18171032.6627368
1761028200000,2025-10-21T03:30:00,107981.74,108076.0,107847.79,107926.0,127.37908,1761029099999,13752148.200031,34210,60.4742,6529233.8402062
1761029100000,2025-10-21T03:45:00,107926.01,108112.42,107866.71,107909.79,168.07836,1761029999999,18149654.3178065,41964,83.03593,8966750.1648914
1761030000000,2025-10-21T04:00:00,107909.79,107935.41,107648.37,107650.01,221.10358,1761030899999,23839471.5011145,40502,86.10184,9284308.0817252
1761030900000,2025-10-21T04:15:00,107650.0,108038.01,107645.21,108038.01,109.45348,1761031799999,11806745.4120738,32425,65.35641,7050104.1493202
1761031800000,2025-10-21T04:30:00,108038.01,108159.16,107967.25,108032.23,191.45293,1761032699999,20686128.016893,39529,108.23937,11695448.748552
1761032700000,2025-10-21T04:45:00,108032.23,108200.0,108000.89,108086.37,185.80306,1761033599999,20088526.3606795,26849,115.9901,12540641.4987635
